Geneid	count
Ints7	648
Lpgat1	3714
Nek2	127
1700034H15Rik	21
Slc30a1	677
Rd3	27
Traf5	16
Mir3473c	0
Traf5-2	15
Gm3934	17
Rcor3	508
Gm10516	101
Kcnh1	850
Hhat	22
A730013G03Rik	3
1700065J18Rik	5
Sertad4	1668
Gm15867	10
Syt14	237
Diexf	536
Irf6	24
A130010J15Rik	233
Traf3ip3	10
Hsd11b1	97
G0s2	0
Gm19753	0
Lamb3	21
Camk1g	801
Mir205	0
4930503O07Rik	0
Plxna2	5231
Mir3962	0
Cd34	594
Gm16897	8
A330023F24Rik	123
Mir29b-2	0
Mir29c	0
Cd46	40
Cr1l	498
Cr2	89
9230019H11Rik	0
B020014A21Rik	0
H60c	0
Ppp1r14c	2689
Iyd	27
Plekhg1	639
Mthfd1l	215
Akap12	2435
Zbtb2	388
Rmnd1	262
1700052N19Rik	164
Gm221	29
Esr1	85
Syne1	1891
Myct1	40
Vip	66
Fbxo5	87
Mtrf1l	131
Rgs17	2154
Gm3213	0
Oprm1	32
Ipcef1	924
Cnksr3	93
Ulbp1	8
Lrp11	3152
Pcmt1	1500
A630066F11Rik	29
Nup43	145
BC020402	67
Lats1	2339
Katna1	219
BC013529	286
LOC100503695	11
Ppil4	1381
Zc3h12d	1
Mir5104	0
Tab2	2380
Ust	710
Sash1	1746
Gm9930	1
Samd5	244
Gm6150	1
Stxbp5	2261
9130014G24Rik	24
Rab32	30
Gm5177	1
Grm1	620
4930567K20Rik	0
Shprh	1149
Fbxo30	296
Epm2a	214
Utrn	655
B230208H11Rik	6
Stx11	18
Sf3b5	446
Plagl1	456
LOC100862331	0
Fam164b	2
Ltv1	453
Phactr2	497
Fuca2	676
Pex3	609
Adat2	130
Aig1	586
Hivep2	9376
Gm20114	19
Gpr126	72
Gm10335	0
Vta1	1062
1700016L04Rik	3
Gje1	0
Nmbr	50
Gm20125	0
Cited2	812
Txlnb	16
Heca	963
3110003A17Rik	327
Reps1	1198
Ect2l	6
Ccdc28a	38
Nhsl1	907
Hebp2	100
D10Bwg1379e	1197
Gm4922	3
4930444F02Rik	5
Perp	166
Tnfaip3	179
Gm20139	1
Olig3	5
Ifngr1	296
Il22ra2	0
Il20ra	2
Slc35d3	80
Pex7	345
Map3k5	540
